implementation,cpp_standard,run,execution_time_seconds
parallel_sort_par_c++17,c++17,1,0.08
parallel_sort_par_c++17,c++17,2,0.10
parallel_sort_par_c++17,c++17,3,0.09
parallel_sort_par_c++17,c++17,4,0.11
parallel_sort_par_c++17,c++17,5,0.11
parallel_sort_par_unseq_c++17,c++17,1,0.10
parallel_sort_par_unseq_c++17,c++17,2,0.09
parallel_sort_par_unseq_c++17,c++17,3,0.11
parallel_sort_par_unseq_c++17,c++17,4,0.10
parallel_sort_par_unseq_c++17,c++17,5,0.10
parallel_sort_threads_c++17,c++17,1,0.11
parallel_sort_threads_c++17,c++17,2,0.12
parallel_sort_threads_c++17,c++17,3,0.13
parallel_sort_threads_c++17,c++17,4,0.10
parallel_sort_threads_c++17,c++17,5,0.10
parallel_sort_pthreads_c++17,c++17,1,0.10
parallel_sort_pthreads_c++17,c++17,2,0.12
parallel_sort_pthreads_c++17,c++17,3,0.11
parallel_sort_pthreads_c++17,c++17,4,0.13
parallel_sort_pthreads_c++17,c++17,5,0.09
parallel_sort_par_c++20,c++20,1,0.08
parallel_sort_par_c++20,c++20,2,0.10
parallel_sort_par_c++20,c++20,3,0.08
parallel_sort_par_c++20,c++20,4,0.08
parallel_sort_par_c++20,c++20,5,0.08
parallel_sort_par_unseq_c++20,c++20,1,0.08
parallel_sort_par_unseq_c++20,c++20,2,0.07
parallel_sort_par_unseq_c++20,c++20,3,0.08
parallel_sort_par_unseq_c++20,c++20,4,0.08
parallel_sort_par_unseq_c++20,c++20,5,0.12
parallel_sort_threads_c++20,c++20,1,0.17
parallel_sort_threads_c++20,c++20,2,0.10
parallel_sort_threads_c++20,c++20,3,0.13
parallel_sort_threads_c++20,c++20,4,0.13
parallel_sort_threads_c++20,c++20,5,0.12
parallel_sort_pthreads_c++20,c++20,1,0.14
parallel_sort_pthreads_c++20,c++20,2,0.12
parallel_sort_pthreads_c++20,c++20,3,0.13
parallel_sort_pthreads_c++20,c++20,4,0.13
parallel_sort_pthreads_c++20,c++20,5,0.15
parallel_sort_par_c++23,c++23,1,0.08
parallel_sort_par_c++23,c++23,2,0.08
parallel_sort_par_c++23,c++23,3,0.08
parallel_sort_par_c++23,c++23,4,0.08
parallel_sort_par_c++23,c++23,5,0.10
parallel_sort_par_unseq_c++23,c++23,1,0.12
parallel_sort_par_unseq_c++23,c++23,2,0.10
parallel_sort_par_unseq_c++23,c++23,3,0.09
parallel_sort_par_unseq_c++23,c++23,4,0.10
parallel_sort_par_unseq_c++23,c++23,5,0.08
parallel_sort_threads_c++23,c++23,1,0.13
parallel_sort_threads_c++23,c++23,2,0.13
parallel_sort_threads_c++23,c++23,3,0.10
parallel_sort_threads_c++23,c++23,4,0.18
parallel_sort_threads_c++23,c++23,5,0.15
parallel_sort_pthreads_c++23,c++23,1,0.12
parallel_sort_pthreads_c++23,c++23,2,0.16
parallel_sort_pthreads_c++23,c++23,3,0.12
parallel_sort_pthreads_c++23,c++23,4,0.17
parallel_sort_pthreads_c++23,c++23,5,0.22
