File,Dominant Function,Percent Runtime,Overhead Type
parallel_sort_pthreads_c++20_run5_perf.txt,"merge(std::vector<int, std::allocator<int> >&, int, int, int)",42.29,Implicit
parallel_sort_pthreads_c++20_run4_perf.txt,"merge(std::vector<int, std::allocator<int> >&, int, int, int)",41.73,Implicit
parallel_sort_par_c++20_run3_perf.txt,">(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<int> >)",75.2,Implicit
parallel_sort_par_c++20_run2_perf.txt,">(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<int> >)",73.18,Implicit
parallel_sort_threads_c++20_run1_perf.txt,"merge(std::vector<int, std::allocator<int> >&, int, int, int)",38.74,Implicit
parallel_sort_par_unseq_c++20_run1_perf.txt,">(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<int> >)",74.89,Implicit
parallel_sort_pthreads_c++17_run3_perf.txt,"merge(std::vector<int, std::allocator<int> >&, int, int, int)",37.82,Implicit
parallel_sort_pthreads_c++17_run2_perf.txt,"merge(std::vector<int, std::allocator<int> >&, int, int, int)",38.01,Implicit
parallel_sort_par_c++17_run5_perf.txt,">(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<int> >)",73.96,Implicit
parallel_sort_par_c++17_run4_perf.txt,">(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<int> >)",75.68,Implicit
parallel_sort_pthreads_c++23_run5_perf.txt,"merge(std::vector<int, std::allocator<int> >&, int, int, int)",43.69,Implicit
parallel_sort_pthreads_c++23_run4_perf.txt,"merge(std::vector<int, std::allocator<int> >&, int, int, int)",40.35,Implicit
parallel_sort_par_c++23_run3_perf.txt,">(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<int> >)",74.22,Implicit
parallel_sort_par_c++23_run2_perf.txt,">(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<int> >)",77.0,Implicit
