Compiler,Benchmark,Run,ExecutionTime(s),CPU(%),MaxRSS(KB)
g++-14,parallel_sort,1,0.51,272,154828
g++-14,parallel_sort,2,0.50,274,154872
g++-14,parallel_sort,3,0.48,281,154620
g++-14,parallel_sort,4,0.48,280,154608
g++-14,parallel_sort,5,0.54,262,154820
g++-14,matrix_mul,1,1.22,749,26992
g++-14,matrix_mul,2,1.21,722,27156
g++-14,matrix_mul,3,1.12,769,27020
g++-14,matrix_mul,4,1.23,722,27216
g++-14,matrix_mul,5,1.14,755,27344
g++-14,prod_cons,1,0.02,183,3760
g++-14,prod_cons,2,0.02,173,3568
g++-14,prod_cons,3,0.02,184,3732
g++-14,prod_cons,4,0.02,173,3744
g++-14,prod_cons,5,0.02,168,3748
g++-14,atomic_ops,1,2.22,384,3584
g++-14,atomic_ops,2,2.01,356,3740
g++-14,atomic_ops,3,2.23,380,3604
g++-14,atomic_ops,4,2.20,377,3804
g++-14,atomic_ops,5,1.70,361,3724
g++-14,thread_create,1,0.10,33,3796
g++-14,thread_create,2,0.05,63,3804
g++-14,thread_create,3,0.05,65,3804
g++-14,thread_create,4,0.05,64,3804
g++-14,thread_create,5,0.05,62,3804
g++-13,parallel_sort,1,0.46,288,154836
g++-13,parallel_sort,2,0.47,284,154880
g++-13,parallel_sort,3,0.47,283,154592
g++-13,parallel_sort,4,0.49,276,154880
g++-13,parallel_sort,5,0.48,281,154828
g++-13,matrix_mul,1,1.08,771,27172
g++-13,matrix_mul,2,1.22,721,26988
g++-13,matrix_mul,3,1.29,709,27024
g++-13,matrix_mul,4,1.11,773,27176
g++-13,matrix_mul,5,1.13,766,26996
g++-13,prod_cons,1,0.02,180,3580
g++-13,prod_cons,2,0.02,178,3808
g++-13,prod_cons,3,0.02,175,3764
g++-13,prod_cons,4,0.02,178,3692
g++-13,prod_cons,5,0.02,170,3568
g++-13,atomic_ops,1,2.22,383,3740
g++-13,atomic_ops,2,2.24,379,3752
g++-13,atomic_ops,3,1.96,358,3564
g++-13,atomic_ops,4,1.70,354,3744
g++-13,atomic_ops,5,1.75,331,3760
g++-13,thread_create,1,0.05,61,3748
g++-13,thread_create,2,0.05,63,3804
g++-13,thread_create,3,0.05,63,3768
g++-13,thread_create,4,0.06,63,3796
g++-13,thread_create,5,0.05,66,3760
clang++-17,parallel_sort,1,0.63,265,154832
clang++-17,parallel_sort,2,0.49,276,154624
clang++-17,parallel_sort,3,0.49,276,154888
clang++-17,parallel_sort,4,0.51,271,154852
clang++-17,parallel_sort,5,0.50,273,154888
clang++-17,matrix_mul,1,1.25,740,26984
clang++-17,matrix_mul,2,1.14,731,26988
clang++-17,matrix_mul,3,1.12,770,27032
clang++-17,matrix_mul,4,1.19,747,27216
clang++-17,matrix_mul,5,1.20,732,27028
clang++-17,prod_cons,1,0.02,180,3776
clang++-17,prod_cons,2,0.02,173,3616
clang++-17,prod_cons,3,0.03,177,3620
clang++-17,prod_cons,4,0.02,168,3800
clang++-17,prod_cons,5,0.02,172,3620
clang++-17,atomic_ops,1,2.08,370,3704
clang++-17,atomic_ops,2,1.91,367,3752
clang++-17,atomic_ops,3,1.65,347,3652
clang++-17,atomic_ops,4,1.73,356,3704
clang++-17,atomic_ops,5,1.93,362,3608
clang++-17,thread_create,1,0.05,63,3768
clang++-17,thread_create,2,0.08,66,3804
clang++-17,thread_create,3,0.06,68,3756
clang++-17,thread_create,4,0.06,68,3900
clang++-17,thread_create,5,0.05,66,3784
clang++-16,parallel_sort,1,0.66,246,154720
clang++-16,parallel_sort,2,0.54,251,154880
clang++-16,parallel_sort,3,0.50,273,154852
clang++-16,parallel_sort,4,0.53,261,154884
clang++-16,parallel_sort,5,0.51,271,154924
clang++-16,matrix_mul,1,1.14,765,27032
clang++-16,matrix_mul,2,1.12,768,26996
clang++-16,matrix_mul,3,1.22,695,27028
clang++-16,matrix_mul,4,1.12,768,27032
clang++-16,matrix_mul,5,1.15,761,27160
clang++-16,prod_cons,1,0.02,176,3932
clang++-16,prod_cons,2,0.03,160,3892
clang++-16,prod_cons,3,0.02,173,3892
clang++-16,prod_cons,4,0.02,174,3576
clang++-16,prod_cons,5,0.09,188,3740
clang++-16,atomic_ops,1,2.10,380,3704
clang++-16,atomic_ops,2,1.73,359,3748
clang++-16,atomic_ops,3,1.66,348,3604
clang++-16,atomic_ops,4,2.15,376,3712
clang++-16,atomic_ops,5,1.73,354,3736
clang++-16,thread_create,1,0.04,61,3888
clang++-16,thread_create,2,0.07,61,3768
clang++-16,thread_create,3,0.06,62,3932
clang++-16,thread_create,4,0.06,63,3768
clang++-16,thread_create,5,0.05,62,3768
