Executable,RunNumber,SequentialTime_s,ParallelTime_s,ParallelRowSplitTime_s
parallel_for_original,1,0.103465,0.0278858,0.0330277
parallel_for_original,2,0.0988657,0.0198879,0.0356236
parallel_for_original,3,0.0995997,0.0282783,0.0340601
parallel_for_original,4,0.0986718,0.0280575,0.0339189
parallel_for_original,5,0.0990122,0.0235508,0.0347903
parallel_for_custom,1,0.100554,7.09645,0.016727
parallel_for_custom,2,0.101974,7.04849,0.0167837
parallel_for_custom,3,0.101316,6.93427,0.0167049
parallel_for_custom,4,0.100188,7.06386,0.0166427
parallel_for_custom,5,0.0999628,6.97444,0.0165626
parallel_for_custom_improved,1,0.100196,0.0378721,0.0364633
parallel_for_custom_improved,2,0.100466,0.0298304,0.0359988
parallel_for_custom_improved,3,0.100542,0.031042,0.0393075
parallel_for_custom_improved,4,0.10024,0.0294948,0.0364565
parallel_for_custom_improved,5,0.100688,0.0319254,0.0350443
